"item","correct_sentence","incorrect_form_1","incorrect_form_2","incorrect_form_3","incorrect_sentence_1","incorrect_sentence_2","incorrect_sentence_3"
"926","Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd lythyr at Weinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater"".","llythyr",NA,NA,"Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd llythyr at Weinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater"".",NA,NA
"1012","Cyfrannodd Stad y Faenol gyrn i Fand Llanrug ym 1895, ond adeg y Streic ym 1901 fe gymron nhw'r cyrn yn ôl am ryw chwe mis!","cyrn","nghyrn","chyrn","Cyfrannodd Stad y Faenol cyrn i Fand Llanrug ym 1895, ond adeg y Streic ym 1901 fe gymron nhw'r cyrn yn ôl am ryw chwe mis!","Cyfrannodd Stad y Faenol nghyrn i Fand Llanrug ym 1895, ond adeg y Streic ym 1901 fe gymron nhw'r cyrn yn ôl am ryw chwe mis!","Cyfrannodd Stad y Faenol chyrn i Fand Llanrug ym 1895, ond adeg y Streic ym 1901 fe gymron nhw'r cyrn yn ôl am ryw chwe mis!"
"1050","Roedd Caerdydd yn dref fechan tan flynyddoedd cynnar y 19eg ganrif.","blynyddoedd","mlynyddoedd",NA,"Roedd Caerdydd yn dref fechan tan blynyddoedd cynnar y 19eg ganrif.","Roedd Caerdydd yn dref fechan tan mlynyddoedd cynnar y 19eg ganrif.",NA
"1085","Fodd bynnag, bum mis ers ei hagor, mae'r awdurdod wedi bygwth troi rhai o'r perchnogion busnes allan, onibai eu bod yn arwyddo cytundebau erbyn 17:00 ddydd Mercher.","pum","mhum","phum","Fodd bynnag, pum mis ers ei hagor, mae'r awdurdod wedi bygwth troi rhai o'r perchnogion busnes allan, onibai eu bod yn arwyddo cytundebau erbyn 17:00 ddydd Mercher.","Fodd bynnag, mhum mis ers ei hagor, mae'r awdurdod wedi bygwth troi rhai o'r perchnogion busnes allan, onibai eu bod yn arwyddo cytundebau erbyn 17:00 ddydd Mercher.","Fodd bynnag, phum mis ers ei hagor, mae'r awdurdod wedi bygwth troi rhai o'r perchnogion busnes allan, onibai eu bod yn arwyddo cytundebau erbyn 17:00 ddydd Mercher."
"1094","Dywedir yn aml taw rygbi'r undeb yw mabolgamp genedlaethol Cymru, er mae pêl-droed yn denu mwy o wylwyr i'r maes.","cenedlaethol","nghenedlaethol","chenedlaethol","Dywedir yn aml taw rygbi'r undeb yw mabolgamp cenedlaethol Cymru, er mae pêl-droed yn denu mwy o wylwyr i'r maes.","Dywedir yn aml taw rygbi'r undeb yw mabolgamp nghenedlaethol Cymru, er mae pêl-droed yn denu mwy o wylwyr i'r maes.","Dywedir yn aml taw rygbi'r undeb yw mabolgamp chenedlaethol Cymru, er mae pêl-droed yn denu mwy o wylwyr i'r maes."
"1113","Dadansoddwyd y corpws i gynhyrchu cyfrifon amlder geiriau yn eu ffurf grai yn ogystal â chyfrifon o lemata lle mae pob arwydd wedi ei ddad-dreiglo a'i dagio yn ôl ei wreiddyn.","tagio","nhagio","thagio","Dadansoddwyd y corpws i gynhyrchu cyfrifon amlder geiriau yn eu ffurf grai yn ogystal â chyfrifon o lemata lle mae pob arwydd wedi ei ddad-dreiglo a'i tagio yn ôl ei wreiddyn.","Dadansoddwyd y corpws i gynhyrchu cyfrifon amlder geiriau yn eu ffurf grai yn ogystal â chyfrifon o lemata lle mae pob arwydd wedi ei ddad-dreiglo a'i nhagio yn ôl ei wreiddyn.","Dadansoddwyd y corpws i gynhyrchu cyfrifon amlder geiriau yn eu ffurf grai yn ogystal â chyfrifon o lemata lle mae pob arwydd wedi ei ddad-dreiglo a'i thagio yn ôl ei wreiddyn."
"1120","Roedd wedi llwyddo i greu tywysogaeth Gymreig oedd yn rhydd o reolaeth brenin Lloegr.","Cymreig","Nghymreig","Chymreig","Roedd wedi llwyddo i greu tywysogaeth Cymreig oedd yn rhydd o reolaeth brenin Lloegr.","Roedd wedi llwyddo i greu tywysogaeth Nghymreig oedd yn rhydd o reolaeth brenin Lloegr.","Roedd wedi llwyddo i greu tywysogaeth Chymreig oedd yn rhydd o reolaeth brenin Lloegr."
"1172","Mewn partneriaeth â Chelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Gelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Celfyddydau","Gelfyddydau","Nghelfyddydau","Mewn partneriaeth â Celfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Gelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Mewn partneriaeth â Gelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Gelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru.","Mewn partneriaeth â Nghelfyddydau Rhyngwladol Cymru a gyda chefnogaeth Llywodraeth Cymru, mae'r Urdd yn falch iawn o gyhoeddi'r elfen ryngwladol newydd hon i'r Ysgoloriaeth ac yn ddiolchgar i Gelfyddydau Rhyngwladol Cymru am gydweithio er mwyn darparu cyfleoedd bythgofiadwy wrth feithrin talent ifanc Cymru."
"1316","Ni phrynodd o ddigon o fara.","prynodd","brynodd","mhrynodd","Ni prynodd o ddigon o fara.","Ni brynodd o ddigon o fara.","Ni mhrynodd o ddigon o fara."
"1344","Fel y gwelwn ni methu ddaru bob plaid a dyna pam mae Teresa May yn ceisio gwneud cytundeb gyda'r 10 aelod o'r DUP er mwyn sicrhau ei gallu i reoli.","pob","mhob","phob","Fel y gwelwn ni methu ddaru pob plaid a dyna pam mae Teresa May yn ceisio gwneud cytundeb gyda'r 10 aelod o'r DUP er mwyn sicrhau ei gallu i reoli.","Fel y gwelwn ni methu ddaru mhob plaid a dyna pam mae Teresa May yn ceisio gwneud cytundeb gyda'r 10 aelod o'r DUP er mwyn sicrhau ei gallu i reoli.","Fel y gwelwn ni methu ddaru phob plaid a dyna pam mae Teresa May yn ceisio gwneud cytundeb gyda'r 10 aelod o'r DUP er mwyn sicrhau ei gallu i reoli."
"1387","Sut long ddaru ti deithio ynddi?","llong",NA,NA,"Sut llong ddaru ti deithio ynddi?",NA,NA
"1536","Gwnaeth fwy na neb, dybiwn i, i greu ymdeimlad o gymuned o feirdd.","mwy",NA,NA,"Gwnaeth mwy na neb, dybiwn i, i greu ymdeimlad o gymuned o feirdd.",NA,NA
"1609","Trwy gydol y daith, ry'n ni'n cael ein cymell i ystyried gwahanol ffyrdd o ymyrryd mewn gofodau cyhoeddus er mwyn gorfodi newid, i ystyried sut y gall protest fod yn theatr, a theatr yn brotest, a'r graddau y gall y dychymyg torfol fod yn arf, dim ots beth yw'r frwydr.","protest","mhrotest","phrotest","Trwy gydol y daith, ry'n ni'n cael ein cymell i ystyried gwahanol ffyrdd o ymyrryd mewn gofodau cyhoeddus er mwyn gorfodi newid, i ystyried sut y gall protest fod yn theatr, a theatr yn protest, a'r graddau y gall y dychymyg torfol fod yn arf, dim ots beth yw'r frwydr.","Trwy gydol y daith, ry'n ni'n cael ein cymell i ystyried gwahanol ffyrdd o ymyrryd mewn gofodau cyhoeddus er mwyn gorfodi newid, i ystyried sut y gall protest fod yn theatr, a theatr yn mhrotest, a'r graddau y gall y dychymyg torfol fod yn arf, dim ots beth yw'r frwydr.","Trwy gydol y daith, ry'n ni'n cael ein cymell i ystyried gwahanol ffyrdd o ymyrryd mewn gofodau cyhoeddus er mwyn gorfodi newid, i ystyried sut y gall protest fod yn theatr, a theatr yn phrotest, a'r graddau y gall y dychymyg torfol fod yn arf, dim ots beth yw'r frwydr."
"1687","Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi for amser yn mynd mor sydyn mae e'n eitha sgêri.","mor",NA,NA,"Os ma' rhyddhau Y Platfform yn dymhorol wedi dysgu unrhyw beth i mi, hynny ydi mor amser yn mynd mor sydyn mae e'n eitha sgêri.",NA,NA
"1703","Yng ngogledd Affrica ceir enghreifftiau da ar yr arfordir yn Nhunisia ac Algeria.","Tunisia","Dunisia","Thunisia","Yng ngogledd Affrica ceir enghreifftiau da ar yr arfordir yn Tunisia ac Algeria.","Yng ngogledd Affrica ceir enghreifftiau da ar yr arfordir yn Dunisia ac Algeria.","Yng ngogledd Affrica ceir enghreifftiau da ar yr arfordir yn Thunisia ac Algeria."
"1717","Cadarnhaodd y Prif Weinidog y bydd yr Eisteddfod Genedlaethol, er enghraifft, yn derbyn yr un gefnogaeth ariannol â'r arfer, a hynny er na fydd Prifwyl draddodiadol yn cael ei chynnal yn Nhregaron eleni.","traddodiadol","nhraddodiadol","thraddodiadol","Cadarnhaodd y Prif Weinidog y bydd yr Eisteddfod Genedlaethol, er enghraifft, yn derbyn yr un gefnogaeth ariannol â'r arfer, a hynny er na fydd Prifwyl traddodiadol yn cael ei chynnal yn Nhregaron eleni.","Cadarnhaodd y Prif Weinidog y bydd yr Eisteddfod Genedlaethol, er enghraifft, yn derbyn yr un gefnogaeth ariannol â'r arfer, a hynny er na fydd Prifwyl nhraddodiadol yn cael ei chynnal yn Nhregaron eleni.","Cadarnhaodd y Prif Weinidog y bydd yr Eisteddfod Genedlaethol, er enghraifft, yn derbyn yr un gefnogaeth ariannol â'r arfer, a hynny er na fydd Prifwyl thraddodiadol yn cael ei chynnal yn Nhregaron eleni."
"1872","O ailenwi un dros Afon Hafren i ddymchwel hen un reilffordd yn Llangefni.","rheilffordd",NA,NA,"O ailenwi un dros Afon Hafren i ddymchwel hen un rheilffordd yn Llangefni.",NA,NA
"1907","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad glir am estyn Safonau i'r sector breifat, megis cwmnïau'r stryd fawr.","clir","nghlir","chlir","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad clir am estyn Safonau i'r sector breifat, megis cwmnïau'r stryd fawr.","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad nghlir am estyn Safonau i'r sector breifat, megis cwmnïau'r stryd fawr.","Mae rhai pethau i'w croesawu yn y maniffesto, fel ymestyn y Safonau i gyrff newydd, ond mae angen galwad chlir am estyn Safonau i'r sector breifat, megis cwmnïau'r stryd fawr."
"2106","Ceir ymdeimlad bod pob ymgyrch wleidyddol yn gallu cael ei chamddefnyddio, hyd yn oed y rhai sy'n honni ewyllys da.","camddefnyddio","gamddefnyddio","nghamddefnyddio","Ceir ymdeimlad bod pob ymgyrch wleidyddol yn gallu cael ei camddefnyddio, hyd yn oed y rhai sy'n honni ewyllys da.","Ceir ymdeimlad bod pob ymgyrch wleidyddol yn gallu cael ei gamddefnyddio, hyd yn oed y rhai sy'n honni ewyllys da.","Ceir ymdeimlad bod pob ymgyrch wleidyddol yn gallu cael ei nghamddefnyddio, hyd yn oed y rhai sy'n honni ewyllys da."
"2155","Mae 'nhaith i'n dechrau, fel aml i un, drwy ddringo'n bwyllog drwy Ryduchaf a Llidiardau ar ffordd wledig yr Arenig; y mynydd hwnnw o 'mlaen i drwy'r amser, ac yna'r Aran i'w weld wrth edrych i'r chwith.","gweld","ngweld",NA,"Mae 'nhaith i'n dechrau, fel aml i un, drwy ddringo'n bwyllog drwy Ryduchaf a Llidiardau ar ffordd wledig yr Arenig; y mynydd hwnnw o 'mlaen i drwy'r amser, ac yna'r Aran i'w gweld wrth edrych i'r chwith.","Mae 'nhaith i'n dechrau, fel aml i un, drwy ddringo'n bwyllog drwy Ryduchaf a Llidiardau ar ffordd wledig yr Arenig; y mynydd hwnnw o 'mlaen i drwy'r amser, ac yna'r Aran i'w ngweld wrth edrych i'r chwith.",NA
"2237","Y rhaglen a wrandais arno.","gwrandais","ngwrandais",NA,"Y rhaglen a gwrandais arno.","Y rhaglen a ngwrandais arno.",NA
"2280","Roedd ei phortread didwyll o Delyth Haf yn hollbwysig i ferched yn eu harddegau yn y 1990au, ac yn gwbl newydd yn y Gymraeg, meddai'r gomediwraig Esyllt Sears.","comediwraig","nghomediwraig","chomediwraig","Roedd ei phortread didwyll o Delyth Haf yn hollbwysig i ferched yn eu harddegau yn y 1990au, ac yn gwbl newydd yn y Gymraeg, meddai'r comediwraig Esyllt Sears.","Roedd ei phortread didwyll o Delyth Haf yn hollbwysig i ferched yn eu harddegau yn y 1990au, ac yn gwbl newydd yn y Gymraeg, meddai'r nghomediwraig Esyllt Sears.","Roedd ei phortread didwyll o Delyth Haf yn hollbwysig i ferched yn eu harddegau yn y 1990au, ac yn gwbl newydd yn y Gymraeg, meddai'r chomediwraig Esyllt Sears."
"2281","Gan droi at y materion y gwnaethoch chi a Janet eu codi am rywedd a chynrychiolaeth fenywaidd, ceir llawer o dystiolaeth am yr hyn sydd wedi digwydd yn y sefydliad hwn, a chyflëwyd hynny gan Janet.","benywaidd","menywaidd",NA,"Gan droi at y materion y gwnaethoch chi a Janet eu codi am rywedd a chynrychiolaeth benywaidd, ceir llawer o dystiolaeth am yr hyn sydd wedi digwydd yn y sefydliad hwn, a chyflëwyd hynny gan Janet.","Gan droi at y materion y gwnaethoch chi a Janet eu codi am rywedd a chynrychiolaeth menywaidd, ceir llawer o dystiolaeth am yr hyn sydd wedi digwydd yn y sefydliad hwn, a chyflëwyd hynny gan Janet.",NA
"2326","Maen nhw'n byw yn Nhregaron.","Tregaron","Dregaron","Thregaron","Maen nhw'n byw yn Tregaron.","Maen nhw'n byw yn Dregaron.","Maen nhw'n byw yn Thregaron."
"2437","Maen nhw'n mynd i Dregaron.","Tregaron","Nhregaron","Thregaron","Maen nhw'n mynd i Tregaron.","Maen nhw'n mynd i Nhregaron.","Maen nhw'n mynd i Thregaron."
"2545","Ganwch chi yn y cyngerdd nos yfory?","Canwch","Nghanwch","Chanwch","Canwch chi yn y cyngerdd nos yfory?","Nghanwch chi yn y cyngerdd nos yfory?","Chanwch chi yn y cyngerdd nos yfory?"
"2558","Yn sgil hynny, sefydlwyd Undeb Myfyrwyr Cymraeg Bangor (UMCB) fel undeb newydd ac annibynnol yn 1976 ond llwyddwyd cyn hynny i sicrhau Neuadd Gymraeg I breswylwyr y brifysgol, sef Neuadd John Morris-Jones.","Cymraeg","Nghymraeg","Chymraeg","Yn sgil hynny, sefydlwyd Undeb Myfyrwyr Cymraeg Bangor (UMCB) fel undeb newydd ac annibynnol yn 1976 ond llwyddwyd cyn hynny i sicrhau Neuadd Cymraeg I breswylwyr y brifysgol, sef Neuadd John Morris-Jones.","Yn sgil hynny, sefydlwyd Undeb Myfyrwyr Cymraeg Bangor (UMCB) fel undeb newydd ac annibynnol yn 1976 ond llwyddwyd cyn hynny i sicrhau Neuadd Nghymraeg I breswylwyr y brifysgol, sef Neuadd John Morris-Jones.","Yn sgil hynny, sefydlwyd Undeb Myfyrwyr Cymraeg Bangor (UMCB) fel undeb newydd ac annibynnol yn 1976 ond llwyddwyd cyn hynny i sicrhau Neuadd Chymraeg I breswylwyr y brifysgol, sef Neuadd John Morris-Jones."
"2767","Wnewch chi gadarnhau a yw'r dyddiad yn gyfleus os gwelwch yn dda?","Gwnewch","Ngwnewch",NA,"Gwnewch chi gadarnhau a yw'r dyddiad yn gyfleus os gwelwch yn dda?","Ngwnewch chi gadarnhau a yw'r dyddiad yn gyfleus os gwelwch yn dda?",NA
"2787","Mae'r amgueddfa baleontoleg newydd sgleiniog yn werth ei gweld, ac mae'r amgueddfa leol dafliad carreg i ffwrdd hefyd.","paleontoleg","mhaleontoleg","phaleontoleg","Mae'r amgueddfa paleontoleg newydd sgleiniog yn werth ei gweld, ac mae'r amgueddfa leol dafliad carreg i ffwrdd hefyd.","Mae'r amgueddfa mhaleontoleg newydd sgleiniog yn werth ei gweld, ac mae'r amgueddfa leol dafliad carreg i ffwrdd hefyd.","Mae'r amgueddfa phaleontoleg newydd sgleiniog yn werth ei gweld, ac mae'r amgueddfa leol dafliad carreg i ffwrdd hefyd."
"2813","Chlywais i moni hi.","Clywais","Glywais","Nghlywais","Clywais i moni hi.","Glywais i moni hi.","Nghlywais i moni hi."
"2872","Dydw i ddim eisiau traethu amdanaf fi'n hun ddim mwy ond roeddwn i'n meddwl y byddai'n werth rhannu'r gerdd gyfarch gan Iestyn Tyne â chi, am ei bod hi mor arbennig.","cyfarch","nghyfarch","chyfarch","Dydw i ddim eisiau traethu amdanaf fi'n hun ddim mwy ond roeddwn i'n meddwl y byddai'n werth rhannu'r gerdd cyfarch gan Iestyn Tyne â chi, am ei bod hi mor arbennig.","Dydw i ddim eisiau traethu amdanaf fi'n hun ddim mwy ond roeddwn i'n meddwl y byddai'n werth rhannu'r gerdd nghyfarch gan Iestyn Tyne â chi, am ei bod hi mor arbennig.","Dydw i ddim eisiau traethu amdanaf fi'n hun ddim mwy ond roeddwn i'n meddwl y byddai'n werth rhannu'r gerdd chyfarch gan Iestyn Tyne â chi, am ei bod hi mor arbennig."
"3005","A deud y gwir, roedd Trelew dan anfantais braidd, a'r 'mynadd yn brin wedi i ni gyrraedd y ddinas tua awr yn gynt na'r disgwyl, am chwech y bore: dim byd yn agored ond caffi oer, di-groeso yr orsaf fysiau, a hen grinc o hogan anserchog yn gwerthu coffi sâl wysg ei thîn i gwsmeriaid cynta'r dydd.","tîn","dîn","nhîn","A deud y gwir, roedd Trelew dan anfantais braidd, a'r 'mynadd yn brin wedi i ni gyrraedd y ddinas tua awr yn gynt na'r disgwyl, am chwech y bore: dim byd yn agored ond caffi oer, di-groeso yr orsaf fysiau, a hen grinc o hogan anserchog yn gwerthu coffi sâl wysg ei tîn i gwsmeriaid cynta'r dydd.","A deud y gwir, roedd Trelew dan anfantais braidd, a'r 'mynadd yn brin wedi i ni gyrraedd y ddinas tua awr yn gynt na'r disgwyl, am chwech y bore: dim byd yn agored ond caffi oer, di-groeso yr orsaf fysiau, a hen grinc o hogan anserchog yn gwerthu coffi sâl wysg ei dîn i gwsmeriaid cynta'r dydd.","A deud y gwir, roedd Trelew dan anfantais braidd, a'r 'mynadd yn brin wedi i ni gyrraedd y ddinas tua awr yn gynt na'r disgwyl, am chwech y bore: dim byd yn agored ond caffi oer, di-groeso yr orsaf fysiau, a hen grinc o hogan anserchog yn gwerthu coffi sâl wysg ei nhîn i gwsmeriaid cynta'r dydd."
"3019","Y penwythnos hwnnw, es i i un o fy ngigs cynta ers bod 'ma.","gigs","igs",NA,"Y penwythnos hwnnw, es i i un o fy gigs cynta ers bod 'ma.","Y penwythnos hwnnw, es i i un o fy igs cynta ers bod 'ma.",NA
"3079","Meddai'r Athro Jerry Hunter, Dirprwy Is-gangellor Prifysgol Bangor: ""Mae cael cyfundrefn addysg cyfrwng Cymraeg gyflawn, sy'n caniatáu i blant a phobl ifanc Cymru ddysgu ac astudio drwy'r Gymraeg o'r cyfnod meithrin hyd at gyfnod addysg uwch, yn gwbl allweddol at ffyniant yr iaith.""","cyflawn","nghyflawn","chyflawn","Meddai'r Athro Jerry Hunter, Dirprwy Is-gangellor Prifysgol Bangor: ""Mae cael cyfundrefn addysg cyfrwng Cymraeg cyflawn, sy'n caniatáu i blant a phobl ifanc Cymru ddysgu ac astudio drwy'r Gymraeg o'r cyfnod meithrin hyd at gyfnod addysg uwch, yn gwbl allweddol at ffyniant yr iaith.""","Meddai'r Athro Jerry Hunter, Dirprwy Is-gangellor Prifysgol Bangor: ""Mae cael cyfundrefn addysg cyfrwng Cymraeg nghyflawn, sy'n caniatáu i blant a phobl ifanc Cymru ddysgu ac astudio drwy'r Gymraeg o'r cyfnod meithrin hyd at gyfnod addysg uwch, yn gwbl allweddol at ffyniant yr iaith.""","Meddai'r Athro Jerry Hunter, Dirprwy Is-gangellor Prifysgol Bangor: ""Mae cael cyfundrefn addysg cyfrwng Cymraeg chyflawn, sy'n caniatáu i blant a phobl ifanc Cymru ddysgu ac astudio drwy'r Gymraeg o'r cyfnod meithrin hyd at gyfnod addysg uwch, yn gwbl allweddol at ffyniant yr iaith."""
"3118","Ganwyd William Morgan yn Nhŷ Mawr y Wybrnant, ger Penmachno, yn fab i denant ar ystad Gwydir.","Tŷ","Dŷ","Thŷ","Ganwyd William Morgan yn Tŷ Mawr y Wybrnant, ger Penmachno, yn fab i denant ar ystad Gwydir.","Ganwyd William Morgan yn Dŷ Mawr y Wybrnant, ger Penmachno, yn fab i denant ar ystad Gwydir.","Ganwyd William Morgan yn Thŷ Mawr y Wybrnant, ger Penmachno, yn fab i denant ar ystad Gwydir."
"3172","Mae datblygiad newydd o 600 o ystafelloedd wedi agor ym Mhentref Santes Fair, gydag amrywiaeth o lety gan gynnwys fflatiau stiwdio a tai tref, bar caffi, siop, golchdy, ystafelloedd cyffredin a chyfleusterau chwaraeon a ffitrwydd.","thai","dai","nhai","Mae datblygiad newydd o 600 o ystafelloedd wedi agor ym Mhentref Santes Fair, gydag amrywiaeth o lety gan gynnwys fflatiau stiwdio a thai tref, bar caffi, siop, golchdy, ystafelloedd cyffredin a chyfleusterau chwaraeon a ffitrwydd.","Mae datblygiad newydd o 600 o ystafelloedd wedi agor ym Mhentref Santes Fair, gydag amrywiaeth o lety gan gynnwys fflatiau stiwdio a dai tref, bar caffi, siop, golchdy, ystafelloedd cyffredin a chyfleusterau chwaraeon a ffitrwydd.","Mae datblygiad newydd o 600 o ystafelloedd wedi agor ym Mhentref Santes Fair, gydag amrywiaeth o lety gan gynnwys fflatiau stiwdio a nhai tref, bar caffi, siop, golchdy, ystafelloedd cyffredin a chyfleusterau chwaraeon a ffitrwydd."
"3236","Gwrthwynebir amgylcheddaeth gan wrth-amgylcheddaeth, sy'n dweud bod y Ddaear yn llai bregus nag y mae rhai amgylcheddwyr yn ei gredu, ac yn portreadu amgylcheddaeth fel gorymateb i gyfraniad dynol at newid yn yr hinsawdd neu'n gwrthwynebu datblygiad dynol.","gwrth-amgylcheddaeth","ngwrth-amgylcheddaeth",NA,"Gwrthwynebir amgylcheddaeth gan gwrth-amgylcheddaeth, sy'n dweud bod y Ddaear yn llai bregus nag y mae rhai amgylcheddwyr yn ei gredu, ac yn portreadu amgylcheddaeth fel gorymateb i gyfraniad dynol at newid yn yr hinsawdd neu'n gwrthwynebu datblygiad dynol.","Gwrthwynebir amgylcheddaeth gan ngwrth-amgylcheddaeth, sy'n dweud bod y Ddaear yn llai bregus nag y mae rhai amgylcheddwyr yn ei gredu, ac yn portreadu amgylcheddaeth fel gorymateb i gyfraniad dynol at newid yn yr hinsawdd neu'n gwrthwynebu datblygiad dynol.",NA
"3243","Bu yno am flynyddoedd heb i neb syllu ar ei thlysni.","tlysni","dlysni","nhlysni","Bu yno am flynyddoedd heb i neb syllu ar ei tlysni.","Bu yno am flynyddoedd heb i neb syllu ar ei dlysni.","Bu yno am flynyddoedd heb i neb syllu ar ei nhlysni."
"3303","Hon oedd y bedwaredd orymdaith mewn cyfres o Orymdeithiau dros Annibyniaeth, a'r gyntaf ers llacio cyfyngiadau Covid.","cyntaf","nghyntaf","chyntaf","Hon oedd y bedwaredd orymdaith mewn cyfres o Orymdeithiau dros Annibyniaeth, a'r cyntaf ers llacio cyfyngiadau Covid.","Hon oedd y bedwaredd orymdaith mewn cyfres o Orymdeithiau dros Annibyniaeth, a'r nghyntaf ers llacio cyfyngiadau Covid.","Hon oedd y bedwaredd orymdaith mewn cyfres o Orymdeithiau dros Annibyniaeth, a'r chyntaf ers llacio cyfyngiadau Covid."
"3347","Diolch i FanglaCymru cafodd dau glaf ar bymtheg ar hugain eto gyfle newydd i grafu byw a chael eu derbyn yn un o wledydd mwyaf anghenus y byd","crafu","nghrafu","chrafu","Diolch i FanglaCymru cafodd dau glaf ar bymtheg ar hugain eto gyfle newydd i crafu byw a chael eu derbyn yn un o wledydd mwyaf anghenus y byd","Diolch i FanglaCymru cafodd dau glaf ar bymtheg ar hugain eto gyfle newydd i nghrafu byw a chael eu derbyn yn un o wledydd mwyaf anghenus y byd","Diolch i FanglaCymru cafodd dau glaf ar bymtheg ar hugain eto gyfle newydd i chrafu byw a chael eu derbyn yn un o wledydd mwyaf anghenus y byd"
"3478","Mae arweinydd Plaid Cymru yn San Steffan wedi anfon neges at holl aelodau ei phlaid yn eu hannog i ddal i gredu yn nyfodol Cymru yn Ewrop.","dyfodol","ddyfodol",NA,"Mae arweinydd Plaid Cymru yn San Steffan wedi anfon neges at holl aelodau ei phlaid yn eu hannog i ddal i gredu yn dyfodol Cymru yn Ewrop.","Mae arweinydd Plaid Cymru yn San Steffan wedi anfon neges at holl aelodau ei phlaid yn eu hannog i ddal i gredu yn ddyfodol Cymru yn Ewrop.",NA
"3526","Cafodd Arfon weld â'i lygaid ei hun pa mor weithgar ac ymroddgar oedd y ddau wrth geisio diogelu'r caneuon gwerin yma.","gweld","ngweld",NA,"Cafodd Arfon gweld â'i lygaid ei hun pa mor weithgar ac ymroddgar oedd y ddau wrth geisio diogelu'r caneuon gwerin yma.","Cafodd Arfon ngweld â'i lygaid ei hun pa mor weithgar ac ymroddgar oedd y ddau wrth geisio diogelu'r caneuon gwerin yma.",NA
"3543","Fu hi'n wythnos brysur yma.","Bu","Mu",NA,"Bu hi'n wythnos brysur yma.","Mu hi'n wythnos brysur yma.",NA
"3558","Deffro'r meddwl ddylai addoliad iawn wneud.","dylai","nylai",NA,"Deffro'r meddwl dylai addoliad iawn wneud.","Deffro'r meddwl nylai addoliad iawn wneud.",NA
"3559","Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".","bod","mod",NA,"Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud bod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".","Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud mod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".",NA
"3582","O'r diwedd mae'r Llywodraeth wedi gwneud datganiad mewn ymateb i'r ddeiseb a gyflwynon fis Tachwedd yn galw arnynt i roi grymoedd i Awdurdodau Lleol reoli'r farchnad dai.","mis",NA,NA,"O'r diwedd mae'r Llywodraeth wedi gwneud datganiad mewn ymateb i'r ddeiseb a gyflwynon mis Tachwedd yn galw arnynt i roi grymoedd i Awdurdodau Lleol reoli'r farchnad dai.",NA,NA
"3606","Mae Meirionnydd yn ymestyn o Finffordd yn y Gogledd hyd at Bont Ddyfi yn y De.","Minffordd",NA,NA,"Mae Meirionnydd yn ymestyn o Minffordd yn y Gogledd hyd at Bont Ddyfi yn y De.",NA,NA
